Time Norm Re(ACF(t)) Im(ACF(t) |ACF(t)| Re(Extra) Im(Extra) |Extra| Sum(HEhr) Pop1 Pop2 Pop1+Pop2 Pop2-Pop1
  0.14250000E+000  0.99983304E+000 -0.96801031E+000 -0.16883256E+000  0.98262322E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97958920E+000  0.20243848E-001  0.99983304E+000  0.95934535E+000
  0.14500000E+000  0.99983304E+000 -0.98196238E+000 -0.10193089E-001  0.98201528E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97888120E+000  0.20951844E-001  0.99983304E+000  0.95792936E+000
  0.14750000E+000  0.99983304E+000 -0.97009463E+000  0.14851517E+000  0.98139714E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97816134E+000  0.21671705E-001  0.99983304E+000  0.95648963E+000
  0.15000000E+000  0.99983304E+000 -0.93275218E+000  0.30311854E+000  0.98076882E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97742963E+000  0.22403411E-001  0.99983304E+000  0.95502622E+000
  0.15250000E+000  0.99983304E+000 -0.87095016E+000  0.44955680E+000  0.98013035E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97668610E+000  0.23146938E-001  0.99983304E+000  0.95353917E+000
  0.15500000E+000  0.99983304E+000 -0.78634607E+000  0.58399004E+000  0.97948176E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97593078E+000  0.23902263E-001  0.99983304E+000  0.95202852E+000
  0.15750000E+000  0.99983304E+000 -0.68119526E+000  0.70289944E+000  0.97882307E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97516368E+000  0.24669363E-001  0.99983304E+000  0.95049432E+000
  0.16000000E+000  0.99983304E+000 -0.55829071E+000  0.80317954E+000  0.97815433E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97438483E+000  0.25448214E-001  0.99983304E+000  0.94893661E+000
  0.16250000E+000  0.99983304E+000 -0.42088869E+000  0.88221945E+000  0.97747555E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97359425E+000  0.26238793E-001  0.99983304E+000  0.94735546E+000
  0.16500000E+000  0.99983304E+000 -0.27262238E+000  0.93797091E+000  0.97678677E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97279197E+000  0.27041075E-001  0.99983304E+000  0.94575089E+000
  0.16750000E+000  0.99983304E+000 -0.11740563E+000  0.96900141E+000  0.97608801E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97197801E+000  0.27855035E-001  0.99983304E+000  0.94412297E+000
  0.17000000E+000  0.99983304E+000  0.40670548E-001  0.97453102E+000  0.97537932E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97115239E+000  0.28680649E-001  0.99983304E+000  0.94247174E+000
  0.17250000E+000  0.99983304E+000  0.19744593E+000  0.95445199E+000  0.97466071E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.97031515E+000  0.29517892E-001  0.99983304E+000  0.94079726E+000
  0.17500000E+000  0.99983304E+000  0.34880080E+000  0.90933050E+000  0.97393221E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96946631E+000  0.30366737E-001  0.99983304E+000  0.93909957E+000
  0.17750000E+000  0.99983304E+000  0.49076430E+000  0.84039081E+000  0.97319387E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96860588E+000  0.31227159E-001  0.99983304E+000  0.93737872E+000
  0.18000000E+000  0.99983304E+000  0.61961882E+000  0.74948194E+000  0.97244571E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96773391E+000  0.32099131E-001  0.99983304E+000  0.93563478E+000
  0.18250000E+000  0.99983304E+000  0.73199748E+000  0.63902801E+000  0.97168776E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96685042E+000  0.32982627E-001  0.99983304E+000  0.93386779E+000
  0.18500000E+000  0.99983304E+000  0.82497220E+000  0.51196351E+000  0.97092006E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96595542E+000  0.33877621E-001  0.99983304E+000  0.93207780E+000
  0.18750000E+000  0.99983304E+000  0.89613010E+000  0.37165520E+000  0.97014264E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96504896E+000  0.34784083E-001  0.99983304E+000  0.93026488E+000
  0.19000000E+000  0.99983304E+000  0.94363617E+000  0.22181275E+000  0.96935552E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96413105E+000  0.35701988E-001  0.99983304E+000  0.92842907E+000
  0.19250000E+000  0.99983304E+000  0.96628067E+000  0.66390530E-001  0.96855875E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96320174E+000  0.36631307E-001  0.99983304E+000  0.92657043E+000
  0.19500000E+000  0.99983304E+000  0.96350988E+000 -0.90516957E-001  0.96775235E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96226103E+000  0.37572011E-001  0.99983304E+000  0.92468902E+000
  0.19750000E+000  0.99983304E+000  0.93543955E+000 -0.24478307E+000  0.96693635E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96130897E+000  0.38524073E-001  0.99983304E+000  0.92278490E+000
  0.20000000E+000  0.99983304E+000  0.88285077E+000 -0.39235774E+000  0.96611080E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.96034558E+000  0.39487463E-001  0.99983304E+000  0.92085812E+000
  0.20250000E+000  0.99983304E+000  0.80716816E+000 -0.52937394E+000  0.96527572E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95937089E+000  0.40462152E-001  0.99983304E+000  0.91890874E+000
  0.20500000E+000  0.99983304E+000  0.71042129E+000 -0.65224920E+000  0.96443114E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95838493E+000  0.41448111E-001  0.99983304E+000  0.91693682E+000
  0.20750000E+000  0.99983304E+000  0.59519013E+000 -0.75777936E+000  0.96357711E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95738773E+000  0.42445309E-001  0.99983304E+000  0.91494242E+000
  0.21000000E+000  0.99983304E+000  0.46453619E+000 -0.84322221E+000  0.96271365E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95637933E+000  0.43453717E-001  0.99983304E+000  0.91292561E+000
  0.21250000E+000  0.99983304E+000  0.32192098E+000 -0.90636891E+000  0.96184079E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95535974E+000  0.44473304E-001  0.99983304E+000  0.91088643E+000
  0.21500000E+000  0.99983304E+000  0.17111425E+000 -0.94560103E+000  0.96095858E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95432900E+000  0.45504040E-001  0.99983304E+000  0.90882496E+000
  0.21750000E+000  0.99983304E+000  0.16094089E-001 -0.95993214E+000  0.96006704E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95328715E+000  0.46545892E-001  0.99983304E+000  0.90674126E+000
  0.22000000E+000  0.99983304E+000 -0.13905809E+000 -0.94903249E+000  0.95916621E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95223421E+000  0.47598831E-001  0.99983304E+000  0.90463538E+000
  0.22250000E+000  0.99983304E+000 -0.29026521E+000 -0.91323650E+000  0.95825612E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95117022E+000  0.48662823E-001  0.99983304E+000  0.90250740E+000
  0.22500000E+000  0.99983304E+000 -0.43356180E+000 -0.85353262E+000  0.95733681E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.95009520E+000  0.49737838E-001  0.99983304E+000  0.90035737E+000
  0.22750000E+000  0.99983304E+000 -0.56519817E+000 -0.77153605E+000  0.95640831E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94900920E+000  0.50823842E-001  0.99983304E+000  0.89818536E+000
  0.23000000E+000  0.99983304E+000 -0.68173862E+000 -0.66944501E+000  0.95547065E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94791224E+000  0.51920804E-001  0.99983304E+000  0.89599143E+000
  0.23250000E+000  0.99983304E+000 -0.78015125E+000 -0.54998169E+000  0.95452387E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94680435E+000  0.53028690E-001  0.99983304E+000  0.89377566E+000
  0.23500000E+000  0.99983304E+000 -0.85788692E+000 -0.41631957E+000  0.95356801E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94568558E+000  0.54147467E-001  0.99983304E+000  0.89153811E+000
  0.23750000E+000  0.99983304E+000 -0.91294534E+000 -0.27199901E+000  0.95260309E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94455594E+000  0.55277102E-001  0.99983304E+000  0.88927884E+000
  0.24000000E+000  0.99983304E+000 -0.94392657E+000 -0.12083330E+000  0.95162916E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94341548E+000  0.56417560E-001  0.99983304E+000  0.88699792E+000
  0.24250000E+000  0.99983304E+000 -0.95006660E+000  0.33192222E-001  0.95064624E+000  0.00000000E+000  0.00000000E+000  0.00000000E+000  0.32462647E+004  0.94226423E+000  0.57568809E-001  0.99983304E+000  0.88469542E+000
